protein1 protein2 combined_score
208964.PA0007 208964.PA0524 347
208964.PA0007 208964.PA1556 387
208964.PA0007 208964.PA4431 460
208964.PA0007 208964.PA1319 345
208964.PA0007 208964.PA1779 267
208964.PA0007 208964.PA2481 392
208964.PA0007 208964.PA4571 392
208964.PA0007 208964.PA3026 197
208964.PA0007 208964.PA5181 267
208964.PA0007 208964.PA0106 391
208964.PA0007 208964.PA0364 265
208964.PA0007 208964.PA5355 197
208964.PA0007 208964.PA0516 319
208964.PA0007 208964.PA1552.1 168
208964.PA0007 208964.PA4692 284
208964.PA0007 208964.PA1416 197
208964.PA0007 208964.PA2124 265
208964.PA0008 208964.PA1949 173
208964.PA0008 208964.PA0009 979
208964.PA0008 208964.PA2320 173
208964.PA0008 208964.PA2259 173
208964.PA0008 208964.PA3563 173
208964.PA0009 208964.PA3554 161
208964.PA0009 208964.PA2382 161
208964.PA0009 208964.PA5321 273
208964.PA0009 208964.PA0018 238
208964.PA0009 208964.PA3834 254
208964.PA0009 208964.PA4439 236
208964.PA0009 208964.PA4771 161
208964.PA0009 208964.PA0008 979
208964.PA0011 208964.PA3242 900
208964.PA0012 208964.PA2799 333
208964.PA0012 208964.PA2989 325
208964.PA0012 208964.PA4608 356
208964.PA0015 208964.PA1122 155
208964.PA0015 208964.PA5022 371
208964.PA0015 208964.PA0019 155
208964.PA0015 208964.PA5133 371
208964.PA0016 208964.PA4464 250
208964.PA0016 208964.PA3210 799
208964.PA0017 208964.PA4568 337
208964.PA0017 208964.PA4272 699
208964.PA0017 208964.PA3134 195
208964.PA0017 208964.PA4260 341
208964.PA0017 208964.PA4572 214
208964.PA0017 208964.PA2741 337
208964.PA0017 208964.PA2970 337
208964.PA0017 208964.PA4237 337
208964.PA0017 208964.PA2424 197
208964.PA0017 208964.PA4256 203
208964.PA0017 208964.PA3600 256
208964.PA0017 208964.PA3868 221
208964.PA0017 208964.PA3950 440
208964.PA0017 208964.PA3262 214
208964.PA0017 208964.PA5470 284
208964.PA0017 208964.PA4258 752
208964.PA0017 208964.PA4251 153
208964.PA0017 208964.PA4433 738
208964.PA0017 208964.PA3466 440
208964.PA0017 208964.PA3717 214
208964.PA0017 208964.PA3334 197
208964.PA0017 208964.PA4265 221
208964.PA0017 208964.PA4978 155
208964.PA0017 208964.PA3162 238
208964.PA0017 208964.PA4245 686
208964.PA0017 208964.PA1794 195
208964.PA0017 208964.PA4252 805
208964.PA0017 208964.PA4242 256
208964.PA0017 208964.PA4271 475
208964.PA0017 208964.PA3327 197
208964.PA0017 208964.PA0770 221
208964.PA0017 208964.PA1017 155
208964.PA0017 208964.PA4274 203
208964.PA0017 208964.PA4263 761
208964.PA0017 208964.PA4248 612
208964.PA0017 208964.PA0868 284
208964.PA0017 208964.PA2744 203
208964.PA0017 208964.PA4752 831
208964.PA0017 208964.PA5315 416
208964.PA0017 208964.PA4277 221
208964.PA0017 208964.PA3629 185
208964.PA0017 208964.PA4005 337
208964.PA0017 208964.PA3701 284
208964.PA0017 208964.PA2400 197
208964.PA0017 208964.PA3861 440
208964.PA0017 208964.PA2966 197
208964.PA0017 208964.PA4262 712
208964.PA0017 208964.PA3742 337
208964.PA0017 208964.PA4247 214
208964.PA0017 208964.PA4567 337
208964.PA0017 208964.PA0455 440
208964.PA0017 208964.PA4724 195
208964.PA0017 208964.PA4566 221
208964.PA0017 208964.PA4255 651
208964.PA0017 208964.PA4273 519
208964.PA0017 208964.PA0428 440
208964.PA0017 208964.PA4244 727
208964.PA0017 208964.PA5254 214
208964.PA0017 208964.PA4253 640
208964.PA0017 208964.PA2122 221
208964.PA0017 208964.PA4261 727
208964.PA0017 208964.PA4932 337
208964.PA0017 208964.PA2840 440
208964.PA0017 208964.PA1869 197
208964.PA0018 208964.PA0009 238
208964.PA0018 208964.PA3011 238
208964.PA0018 208964.PA4439 238
208964.PA0018 208964.PA3834 173
208964.PA0019 208964.PA4432 611
208964.PA0019 208964.PA4251 611
208964.PA0019 208964.PA4433 611
208964.PA0019 208964.PA4240 611
208964.PA0019 208964.PA4264 611
208964.PA0019 208964.PA5554 183
208964.PA0019 208964.PA4935 644
208964.PA0019 208964.PA4239 611
208964.PA0019 208964.PA4258 611
208964.PA0019 208964.PA5570 611
208964.PA0019 208964.PA3600 444
208964.PA0019 208964.PA2970 611
208964.PA0019 208964.PA4237 611
208964.PA0019 208964.PA2741 611
208964.PA0019 208964.PA4256 611
208964.PA0019 208964.PA4267 611
208964.PA0019 208964.PA4260 611
208964.PA0019 208964.PA4568 611
208964.PA0019 208964.PA4249 611
208964.PA0019 208964.PA5315 611
208964.PA0019 208964.PA4699 155
208964.PA0019 208964.PA4263 611
208964.PA0019 208964.PA4248 611
208964.PA0019 208964.PA4274 611
208964.PA0019 208964.PA5049 611
208964.PA0019 208964.PA4671 611
208964.PA0019 208964.PA4245 611
208964.PA0019 208964.PA4242 611
208964.PA0019 208964.PA4632 155
208964.PA0019 208964.PA4252 611
208964.PA0019 208964.PA3657 367
208964.PA0019 208964.PA0015 155
208964.PA0019 208964.PA5316 611
208964.PA0019 208964.PA4567 611
208964.PA0019 208964.PA4259 611
208964.PA0019 208964.PA4741 611
208964.PA0019 208964.PA4262 611
208964.PA0019 208964.PA2748 367
208964.PA0019 208964.PA4247 611
208964.PA0019 208964.PA3742 611
208964.PA0019 208964.PA4268 611
208964.PA0019 208964.PA0579 611
208964.PA0019 208964.PA4563 611
208964.PA0019 208964.PA4241 611
208964.PA0019 208964.PA1800 611
208964.PA0019 208964.PA4667 155
208964.PA0019 208964.PA4932 611
208964.PA0019 208964.PA3601 505
208964.PA0019 208964.PA3656 611
208964.PA0019 208964.PA4250 611
208964.PA0019 208964.PA1005 155
208964.PA0019 208964.PA4261 611
208964.PA0019 208964.PA4254 611
208964.PA0019 208964.PA4244 611
208964.PA0019 208964.PA4257 611
208964.PA0019 208964.PA4246 611
208964.PA0019 208964.PA2742 611
208964.PA0019 208964.PA4253 611
208964.PA0019 208964.PA3745 611
208964.PA0019 208964.PA3063 155
208964.PA0019 208964.PA4255 611
208964.PA0019 208964.PA4934 611
208964.PA0020 208964.PA2676 382
208964.PA0020 208964.PA0622 673
208964.PA0020 208964.PA5210 354
208964.PA0020 208964.PA0943 274
208964.PA0020 208964.PA0617 688
208964.PA0020 208964.PA0329 688
208964.PA0020 208964.PA0628 643
208964.PA0020 208964.PA2783 274
208964.PA0020 208964.PA0616 424
208964.PA0020 208964.PA5040 946
208964.PA0020 208964.PA5043 491
208964.PA0020 208964.PA5041 424
208964.PA0020 208964.PA3102 382
208964.PA0020 208964.PA5042 491
208964.PA0020 208964.PA4526 354
208964.PA0020 208964.PA5044 491
208964.PA0020 208964.PA3103 354
208964.PA0020 208964.PA0683 367
208964.PA0020 208964.PA0686 354
208964.PA0020 208964.PA0687 382
208964.PA0020 208964.PA2677 354
208964.PA0021 208964.PA3617 432
208964.PA0021 208964.PA4232 358
208964.PA0022 208964.PA0580 239
208964.PA0022 208964.PA3685 224
208964.PA0023 208964.PA2424 238
208964.PA0024 208964.PA1546 900
208964.PA0024 208964.PA4655 335
208964.PA0025 208964.PA1068 179
208964.PA0025 208964.PA3011 238
208964.PA0025 208964.PA5038 224
208964.PA0025 208964.PA3769 489
208964.PA0025 208964.PA0244 900
208964.PA0025 208964.PA1596 179
208964.PA0025 208964.PA3617 376
208964.PA0025 208964.PA1770 253
208964.PA0025 208964.PA3118 167
208964.PA0025 208964.PA0651 181
208964.PA0027 208964.PA3028 213
208964.PA0027 208964.PA3770 163
208964.PA0027 208964.PA0633 171
208964.PA0027 208964.PA1777 163
208964.PA0027 208964.PA1847 240
208964.PA0027 208964.PA4270 161
208964.PA0027 208964.PA3914 213
208964.PA0027 208964.PA3648 222
208964.PA0027 208964.PA1082 175
208964.PA0027 208964.PA3800 171
208964.PA0029 208964.PA3106 189
208964.PA0029 208964.PA1470 189
208964.PA0029 208964.PA2424 334
208964.PA0029 208964.PA3427 189
208964.PA0029 208964.PA2515 189
208964.PA0029 208964.PA3511 189
208964.PA0029 208964.PA2003 189
208964.PA0029 208964.PA2887 189
208964.PA0029 208964.PA4148 189
208964.PA0029 208964.PA2648 485
208964.PA0029 208964.PA4430 573
