protein1 protein2 combined_score
208964.PA0590 208964.PA1782 228
208964.PA0590 208964.PA0494 185
208964.PA0590 208964.PA0428 220
208964.PA0590 208964.PA3810 438
208964.PA0590 208964.PA4270 333
208964.PA0590 208964.PA5449 209
208964.PA0590 208964.PA2238 209
208964.PA0590 208964.PA1617 361
208964.PA0590 208964.PA5010 209
208964.PA0590 208964.PA5057 357
208964.PA0590 208964.PA3060 270
208964.PA0590 208964.PA4269 284
208964.PA0590 208964.PA3195 163
208964.PA0590 208964.PA2949 357
208964.PA0590 208964.PA5079 192
208964.PA0590 208964.PA3950 220
208964.PA0590 208964.PA3770 187
208964.PA0590 208964.PA4937 249
208964.PA0590 208964.PA0657 240
208964.PA0590 208964.PA0551 163
208964.PA0590 208964.PA2778 270
208964.PA0590 208964.PA3717 639
208964.PA0590 208964.PA1544 151
208964.PA0590 208964.PA0250 187
208964.PA0590 208964.PA4008 357
208964.PA0590 208964.PA1622 357
208964.PA0590 208964.PA5007 491
208964.PA0590 208964.PA4378 491
208964.PA0590 208964.PA3509 357
208964.PA0590 208964.PA0275 151
208964.PA0590 208964.PA4761 438
208964.PA0590 208964.PA3861 220
208964.PA0590 208964.PA3686 424
208964.PA0590 208964.PA4807 174
208964.PA0590 208964.PA4385 367
208964.PA0590 208964.PA5336 563
208964.PA0590 208964.PA3994 357
208964.PA0590 208964.PA3059 209
208964.PA0590 208964.PA5080 357
208964.PA0590 208964.PA1388 280
208964.PA0590 208964.PA2086 357
208964.PA0590 208964.PA3660 262
208964.PA0590 208964.PA0799 553
208964.PA0590 208964.PA5455 209
208964.PA0590 208964.PA3226 357
208964.PA0590 208964.PA0842 209
208964.PA0590 208964.PA4612 818
208964.PA0590 208964.PA1621 357
208964.PA0590 208964.PA3394 263
208964.PA0590 208964.PA3887 262
208964.PA0590 208964.PA4249 151
208964.PA0590 208964.PA3635 504
208964.PA0590 208964.PA4272 280
208964.PA0590 208964.PA5566 485
208964.PA0590 208964.PA1391 209
208964.PA0590 208964.PA0231 357
208964.PA0590 208964.PA3429 357
208964.PA0590 208964.PA0829 357
208964.PA0590 208964.PA4311 209
208964.PA0590 208964.PA3262 639
208964.PA0590 208964.PA2717 357
208964.PA0590 208964.PA4016 354
208964.PA0590 208964.PA5436 177
208964.PA0590 208964.PA3614 630
208964.PA0590 208964.PA2745 357
208964.PA0590 208964.PA3308 553
208964.PA0590 208964.PA4263 317
208964.PA0590 208964.PA3739 262
208964.PA0590 208964.PA5337 274
208964.PA0590 208964.PA2192 187
208964.PA0590 208964.PA2498 818
208964.PA0590 208964.PA3053 357
208964.PA0590 208964.PA4037 263
208964.PA0590 208964.PA5448 209
208964.PA0590 208964.PA5447 209
208964.PA0590 208964.PA5254 639
208964.PA0590 208964.PA1793 227
208964.PA0590 208964.PA3802 344
208964.PA0590 208964.PA2812 263
208964.PA0590 208964.PA5320 321
208964.PA0590 208964.PA5001 209
208964.PA0590 208964.PA2840 220
208964.PA0590 208964.PA2159 187
208964.PA0590 208964.PA3147 209
208964.PA0590 208964.PA4238 366
208964.PA0590 208964.PA0652 151
208964.PA0590 208964.PA5004 209
208964.PA0590 208964.PA2135 262
208964.PA0590 208964.PA4848 177
208964.PA0590 208964.PA4152 379
208964.PA0590 208964.PA0480 357
208964.PA0590 208964.PA2764 357
208964.PA0590 208964.PA4998 491
208964.PA0590 208964.PA2934 357
208964.PA0590 208964.PA4799 424
208964.PA0592 208964.PA4741 805
208964.PA0592 208964.PA4259 799
208964.PA0592 208964.PA4262 605
208964.PA0592 208964.PA1294 367
208964.PA0592 208964.PA0579 491
208964.PA0592 208964.PA4241 805
208964.PA0592 208964.PA2968 426
208964.PA0592 208964.PA2840 152
208964.PA0592 208964.PA4742 358
208964.PA0592 208964.PA4585 652
208964.PA0592 208964.PA4246 805
208964.PA0592 208964.PA3745 775
208964.PA0592 208964.PA1793 202
208964.PA0592 208964.PA0905 358
208964.PA0592 208964.PA4934 491
208964.PA0592 208964.PA0428 152
208964.PA0592 208964.PA4240 805
208964.PA0592 208964.PA4937 345
208964.PA0592 208964.PA3961 444
208964.PA0592 208964.PA4264 805
208964.PA0592 208964.PA3950 152
208964.PA0592 208964.PA2424 165
208964.PA0592 208964.PA4267 805
208964.PA0592 208964.PA3807 347
208964.PA0592 208964.PA3297 444
208964.PA0592 208964.PA3162 424
208964.PA0592 208964.PA5493 197
208964.PA0592 208964.PA0455 152
208964.PA0592 208964.PA0214 426
208964.PA0592 208964.PA4268 805
208964.PA0592 208964.PA4563 491
208964.PA0592 208964.PA3861 152
208964.PA0592 208964.PA4385 156
208964.PA0592 208964.PA3227 202
208964.PA0592 208964.PA4557 358
208964.PA0592 208964.PA4250 805
208964.PA0592 208964.PA3656 805
208964.PA0592 208964.PA4254 805
208964.PA0592 208964.PA4257 789
208964.PA0592 208964.PA4232 222
208964.PA0592 208964.PA5334 345
208964.PA0592 208964.PA4432 841
208964.PA0592 208964.PA3806 234
208964.PA0592 208964.PA4935 775
208964.PA0592 208964.PA4239 805
208964.PA0592 208964.PA4746 652
208964.PA0592 208964.PA4249 805
208964.PA0592 208964.PA1839 224
208964.PA0592 208964.PA0771 782
208964.PA0592 208964.PA4271 157
208964.PA0592 208964.PA3466 152
208964.PA0593 208964.PA0773 224
208964.PA0593 208964.PA2212 900
208964.PA0594 208964.PA4270 161
208964.PA0594 208964.PA1847 240
208964.PA0594 208964.PA0766 224
208964.PA0594 208964.PA0633 171
208964.PA0594 208964.PA1777 163
208964.PA0594 208964.PA3770 163
208964.PA0594 208964.PA3028 213
208964.PA0594 208964.PA3800 485
208964.PA0594 208964.PA1082 175
208964.PA0594 208964.PA4446 224
208964.PA0594 208964.PA4067 240
208964.PA0594 208964.PA3648 468
208964.PA0594 208964.PA3914 213
208964.PA0594 208964.PA4403 357
208964.PA0595 208964.PA3827 358
208964.PA0595 208964.PA3828 358
208964.PA0595 208964.PA4459 380
208964.PA0595 208964.PA4460 485
208964.PA0595 208964.PA4461 358
208964.PA0595 208964.PA4385 239
208964.PA0595 208964.PA3988 999
208964.PA0597 208964.PA4267 151
208964.PA0597 208964.PA3520 227
208964.PA0597 208964.PA2102 233
208964.PA0597 208964.PA4264 177
208964.PA0597 208964.PA4054 208
208964.PA0597 208964.PA0552 244
208964.PA0597 208964.PA4241 173
208964.PA0597 208964.PA4741 177
208964.PA0597 208964.PA1093 151
208964.PA0597 208964.PA4069 169
208964.PA0597 208964.PA4425 256
208964.PA0597 208964.PA4249 173
208964.PA0597 208964.PA4665 211
208964.PA0597 208964.PA5162 169
208964.PA0597 208964.PA3324 161
208964.PA0597 208964.PA0639 239
208964.PA0597 208964.PA4807 987
208964.PA0597 208964.PA4385 241
208964.PA0597 208964.PA3987 175
208964.PA0597 208964.PA2165 165
208964.PA0597 208964.PA3167 153
208964.PA0597 208964.PA5453 238
208964.PA0598 208964.PA1802 171
208964.PA0598 208964.PA3813 621
208964.PA0598 208964.PA3810 382
208964.PA0598 208964.PA4762 433
208964.PA0598 208964.PA4873 313
208964.PA0598 208964.PA4761 382
208964.PA0600 208964.PA0847 185
208964.PA0600 208964.PA2737 172
208964.PA0600 208964.PA1347 401
208964.PA0600 208964.PA3191 192
208964.PA0600 208964.PA4878 172
208964.PA0600 208964.PA3077 171
208964.PA0600 208964.PA3074 165
208964.PA0600 208964.PA0463 171
208964.PA0600 208964.PA4101 171
208964.PA0600 208964.PA4982 657
208964.PA0600 208964.PA2686 171
208964.PA0600 208964.PA1243 739
208964.PA0600 208964.PA3078 192
208964.PA0600 208964.PA3346 171
208964.PA0600 208964.PA3974 657
208964.PA0600 208964.PA4856 532
208964.PA0600 208964.PA5166 207
208964.PA0600 208964.PA1799 171
208964.PA0600 208964.PA4102 192
208964.PA0600 208964.PA2359 207
208964.PA0600 208964.PA1438 192
208964.PA0600 208964.PA0756 171
208964.PA0600 208964.PA0285 318
208964.PA0600 208964.PA1240 203
208964.PA0600 208964.PA1437 171
208964.PA0600 208964.PA3322 172
208964.PA0600 208964.PA1180 192
208964.PA0600 208964.PA2809 171
208964.PA0600 208964.PA0575 424
208964.PA0600 208964.PA2523 171
208964.PA0600 208964.PA0409 171
208964.PA0600 208964.PA3947 436
208964.PA0600 208964.PA3879 401
208964.PA0600 208964.PA0744 203
208964.PA0600 208964.PA3206 192
208964.PA0600 208964.PA0929 171
208964.PA0600 208964.PA5116 172
208964.PA0600 208964.PA2890 203
208964.PA0600 208964.PA4659 172
208964.PA0600 208964.PA0413 583
208964.PA0600 208964.PA1898 401
208964.PA0600 208964.PA3204 171
208964.PA0600 208964.PA2727 173
208964.PA0600 208964.PA1976 739
208964.PA0600 208964.PA3426 203
208964.PA0600 208964.PA2656 192
208964.PA0600 208964.PA3689 172
208964.PA0600 208964.PA3343 160
208964.PA0600 208964.PA2687 192
208964.PA0600 208964.PA0601 401
208964.PA0600 208964.PA2376 401
208964.PA0600 208964.PA4197 195
208964.PA0600 208964.PA1671 171
208964.PA0600 208964.PA2728 173
208964.PA0600 208964.PA2786 739
208964.PA0600 208964.PA1978 401
208964.PA0600 208964.PA1097 207
208964.PA0600 208964.PA2137 692
208964.PA0600 208964.PA3192 171
208964.PA0600 208964.PA4196 379
208964.PA0600 208964.PA4032 171
208964.PA0600 208964.PA5360 171
208964.PA0600 208964.PA0928 675
208964.PA0600 208964.PA2881 207
208964.PA0600 208964.PA1397 401
208964.PA0600 208964.PA2524 192
208964.PA0600 208964.PA2899 401
208964.PA0600 208964.PA1484 401
208964.PA0600 208964.PA2810 192
208964.PA0600 208964.PA1782 319
208964.PA0600 208964.PA1637 171
208964.PA0600 208964.PA2586 401
208964.PA0600 208964.PA1945 207
208964.PA0600 208964.PA1851 160
208964.PA0600 208964.PA2841 203
208964.PA0600 208964.PA4778 172
208964.PA0600 208964.PA5442 318
208964.PA0600 208964.PA4885 171
208964.PA0600 208964.PA2072 318
208964.PA0600 208964.PA1980 401
208964.PA0600 208964.PA2177 739
208964.PA0600 208964.PA0267 465
208964.PA0600 208964.PA0757 192
208964.PA0600 208964.PA5200 171
208964.PA0600 208964.PA3462 657
208964.PA0600 208964.PA4080 401
208964.PA0600 208964.PA4983 171
208964.PA0600 208964.PA0074 171
208964.PA0600 208964.PA3349 312
208964.PA0600 208964.PA4547 207
208964.PA0600 208964.PA3704 583
208964.PA0600 208964.PA3714 401
208964.PA0600 208964.PA1821 203
208964.PA0600 208964.PA4886 192
208964.PA0600 208964.PA5483 207
208964.PA0600 208964.PA5511 207
208964.PA0600 208964.PA2778 165
208964.PA0600 208964.PA3771 401
208964.PA0600 208964.PA0408 171
208964.PA0600 208964.PA3591 203
208964.PA0600 208964.PA2548 235
208964.PA0600 208964.PA1611 496
208964.PA0600 208964.PA2583 657
208964.PA0600 208964.PA0290 185
208964.PA0600 208964.PA1158 192
208964.PA0600 208964.PA5017 427
208964.PA0600 208964.PA5199 192
208964.PA0600 208964.PA1992 620
208964.PA0600 208964.PA4296 401
208964.PA0600 208964.PA4776 171
208964.PA0600 208964.PA3044 252
208964.PA0600 208964.PA1157 171
208964.PA0600 208964.PA2591 401
208964.PA0600 208964.PA4074 401
208964.PA0600 208964.PA4293 195
208964.PA0600 208964.PA2718 172
208964.PA0600 208964.PA4725 179
208964.PA0600 208964.PA4601 318
208964.PA0600 208964.PA3599 401
208964.PA0600 208964.PA1946 165
208964.PA0600 208964.PA4380 192
208964.PA0600 208964.PA2824 657
208964.PA0600 208964.PA3948 401
208964.PA0600 208964.PA4494 192
208964.PA0600 208964.PA1335 207
208964.PA0600 208964.PA3271 802
208964.PA0600 208964.PA3946 675
208964.PA0600 208964.PA1396 414
208964.PA0600 208964.PA1456 394
208964.PA0600 208964.PA3045 401
208964.PA0600 208964.PA2013 203
208964.PA0600 208964.PA1748 203
208964.PA0600 208964.PA4330 203
208964.PA0600 208964.PA0034 401
208964.PA0600 208964.PA2016 172
208964.PA0600 208964.PA0533 624
208964.PA0600 208964.PA0745 203
208964.PA0600 208964.PA0991 207
208964.PA0600 208964.PA5364 171
208964.PA0600 208964.PA2657 171
208964.PA0600 208964.PA2767 203
208964.PA0600 208964.PA5125 207
208964.PA0600 208964.PA4381 171
208964.PA0600 208964.PA1443 210
208964.PA0600 208964.PA4980 203
208964.PA0600 208964.PA4396 160
208964.PA0600 208964.PA4112 675
208964.PA0600 208964.PA0930 192
208964.PA0600 208964.PA2273 172
208964.PA0600 208964.PA3702 160
208964.PA0600 208964.PA2665 279
208964.PA0600 208964.PA2354 207
208964.PA0600 208964.PA4843 160
208964.PA0600 208964.PA0861 185
208964.PA0600 208964.PA2480 192
208964.PA0600 208964.PA1798 192
208964.PA0600 208964.PA0179 171
208964.PA0600 208964.PA1179 171
208964.PA0600 208964.PA0464 192
208964.PA0600 208964.PA1629 203
208964.PA0600 208964.PA2479 171
208964.PA0600 208964.PA1181 185
208964.PA0600 208964.PA4806 401
208964.PA0600 208964.PA5124 197
208964.PA0600 208964.PA4726 207
208964.PA0600 208964.PA1663 279
208964.PA0600 208964.PA1099 207
208964.PA0600 208964.PA3604 401
208964.PA0600 208964.PA4777 192
208964.PA0601 208964.PA2786 279
208964.PA0601 208964.PA1136 169
208964.PA0601 208964.PA2137 209
208964.PA0601 208964.PA1430 169
208964.PA0601 208964.PA2567 166
208964.PA0601 208964.PA4112 398
208964.PA0601 208964.PA0928 449
208964.PA0601 208964.PA3462 257
208964.PA0601 208964.PA2177 279
208964.PA0601 208964.PA2778 177
208964.PA0601 208964.PA3477 169
208964.PA0601 208964.PA3060 161
208964.PA0601 208964.PA1181 184
208964.PA0601 208964.PA0600 401
208964.PA0601 208964.PA3074 177
208964.PA0601 208964.PA4982 257
208964.PA0601 208964.PA1992 246
208964.PA0601 208964.PA1243 416
208964.PA0601 208964.PA3044 195
208964.PA0601 208964.PA1611 194
208964.PA0601 208964.PA5017 155
208964.PA0601 208964.PA2583 340
208964.PA0601 208964.PA1979 245
208964.PA0601 208964.PA4437 161
208964.PA0601 208964.PA3974 257
208964.PA0601 208964.PA2824 257
208964.PA0601 208964.PA1396 174
208964.PA0601 208964.PA3946 458
208964.PA0601 208964.PA3271 331
208964.PA0601 208964.PA1976 279
208964.PA0603 208964.PA4455 360
208964.PA0603 208964.PA2409 360
208964.PA0603 208964.PA4194 360
208964.PA0603 208964.PA0280 360
208964.PA0603 208964.PA4502 360
208964.PA0603 208964.PA5155 360
208964.PA0603 208964.PA0326 360
208964.PA0603 208964.PA5154 360
208964.PA0603 208964.PA5451 360
208964.PA0603 208964.PA2925 360
208964.PA0603 208964.PA4461 360
208964.PA0603 208964.PA5377 360
208964.PA0603 208964.PA4193 360
208964.PA0603 208964.PA5103 360
208964.PA0603 208964.PA0302 360
208964.PA0603 208964.PA5231 360
208964.PA0603 208964.PA5230 360
208964.PA0603 208964.PA0889 360
208964.PA0603 208964.PA3889 360
208964.PA0603 208964.PA1340 360
208964.PA0603 208964.PA3827 360
208964.PA0603 208964.PA1341 360
208964.PA0603 208964.PA5317 360
208964.PA0603 208964.PA1687 191
208964.PA0603 208964.PA3254 360
208964.PA0603 208964.PA5075 360
208964.PA0603 208964.PA2678 360
208964.PA0603 208964.PA5378 360
208964.PA0603 208964.PA2924 360
208964.PA0603 208964.PA0313 360
208964.PA0603 208964.PA5500 360
208964.PA0603 208964.PA3828 360
208964.PA0603 208964.PA1810 360
208964.PA0603 208964.PA2811 360
208964.PA0603 208964.PA0206 360
208964.PA0603 208964.PA3313 360
208964.PA0603 208964.PA5450 360
208964.PA0603 208964.PA4497 360
208964.PA0603 208964.PA5376 360
208964.PA0603 208964.PA0030 360
208964.PA0603 208964.PA3538 360
208964.PA0603 208964.PA5388 360
208964.PA0603 208964.PA3187 360
208964.PA0603 208964.PA3383 360
208964.PA0603 208964.PA0890 360
208964.PA0603 208964.PA4496 360
208964.PA0603 208964.PA3236 360
208964.PA0603 208964.PA2397 360
208964.PA0603 208964.PA3890 360
208964.PA0603 208964.PA5095 360
208964.PA0603 208964.PA3888 360
208964.PA0603 208964.PA5096 360
208964.PA0603 208964.PA4500 360
208964.PA0603 208964.PA1811 360
208964.PA0603 208964.PA1257 360
208964.PA0603 208964.PA1258 360
208964.PA0603 208964.PA3891 360
208964.PA0603 208964.PA2203 360
208964.PA0603 208964.PA3610 166
208964.PA0603 208964.PA2058 360
208964.PA0603 208964.PA3211 360
208964.PA0603 208964.PA2341 360
208964.PA0603 208964.PA3607 360
208964.PA0603 208964.PA5501 360
208964.PA0603 208964.PA2408 360
208964.PA0603 208964.PA2202 360
208964.PA0607 208964.PA1078 188
208964.PA0607 208964.PA1443 214
208964.PA0607 208964.PA0956 175
208964.PA0607 208964.PA2343 151
208964.PA0607 208964.PA5107 171
208964.PA0607 208964.PA1448 225
208964.PA0607 208964.PA1444 231
208964.PA0607 208964.PA3024 151
208964.PA0607 208964.PA0330 161
208964.PA0607 208964.PA1694 205
208964.PA0607 208964.PA2796 171
208964.PA0607 208964.PA1095 288
208964.PA0608 208964.PA0002 189
208964.PA0608 208964.PA0347 186
208964.PA0608 208964.PA0382 159
208964.PA0608 208964.PA1812 165
208964.PA0608 208964.PA0065 900
208964.PA0608 208964.PA2352 169
208964.PA0608 208964.PA0923 158
208964.PA0608 208964.PA2974 900
208964.PA0608 208964.PA4259 161
208964.PA0609 208964.PA2609 489
208964.PA0609 208964.PA1002 956
208964.PA0609 208964.PA0650 519
208964.PA0609 208964.PA1903 449
208964.PA0609 208964.PA1001 900
208964.PA0609 208964.PA0649 956
208964.PA0609 208964.PA4214 449
208964.PA0609 208964.PA0651 369
208964.PA0609 208964.PA0546 177
208964.PA0609 208964.PA3118 153
208964.PA0612 208964.PA3622 244
208964.PA0612 208964.PA4238 354
208964.PA0612 208964.PA0576 244
208964.PA0612 208964.PA0376 244
208964.PA0612 208964.PA4270 451
208964.PA0612 208964.PA5337 354
208964.PA0612 208964.PA4269 499
208964.PA0615 208964.PA0622 900
208964.PA0615 208964.PA0623 800
208964.PA0616 208964.PA5178 424
208964.PA0616 208964.PA0622 424
208964.PA0616 208964.PA0617 491
208964.PA0616 208964.PA0020 424
208964.PA0616 208964.PA0329 491
208964.PA0617 208964.PA0616 491
208964.PA0617 208964.PA0623 800
208964.PA0617 208964.PA0627 800
208964.PA0617 208964.PA0619 800
208964.PA0617 208964.PA0020 688
208964.PA0617 208964.PA0943 345
208964.PA0617 208964.PA0618 800
208964.PA0617 208964.PA5178 688
208964.PA0617 208964.PA0622 959
208964.PA0617 208964.PA0626 800
208964.PA0617 208964.PA0628 792
208964.PA0617 208964.PA0329 806
208964.PA0617 208964.PA2783 345
208964.PA0618 208964.PA0626 800
208964.PA0618 208964.PA0623 800
208964.PA0618 208964.PA0622 800
208964.PA0618 208964.PA0617 800
208964.PA0618 208964.PA0619 800
208964.PA0618 208964.PA0627 800
208964.PA0619 208964.PA0623 800
208964.PA0619 208964.PA0626 800
208964.PA0619 208964.PA0618 800
208964.PA0619 208964.PA0622 800
208964.PA0619 208964.PA0617 800
208964.PA0619 208964.PA0627 800
208964.PA0621 208964.PA5124 155
208964.PA0622 208964.PA0020 673
208964.PA0622 208964.PA0619 800
208964.PA0622 208964.PA0627 800
208964.PA0622 208964.PA0615 900
208964.PA0622 208964.PA0623 900
208964.PA0622 208964.PA0616 424
208964.PA0622 208964.PA2783 274
208964.PA0622 208964.PA0329 805
208964.PA0622 208964.PA0628 712
208964.PA0622 208964.PA5178 673
208964.PA0622 208964.PA0618 800
208964.PA0622 208964.PA0626 800
208964.PA0622 208964.PA0943 274
208964.PA0622 208964.PA0617 959
208964.PA0623 208964.PA0615 800
208964.PA0623 208964.PA0627 800
208964.PA0623 208964.PA0619 800
208964.PA0623 208964.PA0618 800
208964.PA0623 208964.PA0626 800
208964.PA0623 208964.PA0622 900
208964.PA0623 208964.PA0617 800
208964.PA0626 208964.PA0617 800
208964.PA0626 208964.PA0622 800
208964.PA0626 208964.PA0623 800
208964.PA0626 208964.PA0618 800
208964.PA0626 208964.PA0627 800
208964.PA0626 208964.PA0619 800
208964.PA0627 208964.PA0619 800
208964.PA0627 208964.PA0617 800
208964.PA0627 208964.PA0623 800
208964.PA0627 208964.PA0626 800
208964.PA0627 208964.PA0622 800
208964.PA0627 208964.PA0618 800
208964.PA0628 208964.PA0020 643
208964.PA0628 208964.PA2783 345
208964.PA0628 208964.PA0329 792
208964.PA0628 208964.PA0943 345
208964.PA0628 208964.PA0617 792
208964.PA0628 208964.PA0622 712
208964.PA0628 208964.PA5178 643
208964.PA0633 208964.PA1996 171
208964.PA0633 208964.PA0027 171
208964.PA0633 208964.PA4176 171
208964.PA0633 208964.PA0699 171
208964.PA0633 208964.PA4876 455
208964.PA0633 208964.PA4545 629
208964.PA0633 208964.PA1805 171
208964.PA0633 208964.PA4765 455
208964.PA0633 208964.PA1011 630
208964.PA0633 208964.PA3871 171
208964.PA0633 208964.PA3648 712
208964.PA0633 208964.PA0594 171
208964.PA0635 208964.PA0865 173
208964.PA0639 208964.PA0371 155
208964.PA0639 208964.PA4262 767
208964.PA0639 208964.PA4241 741
208964.PA0639 208964.PA5474 155
208964.PA0639 208964.PA2840 224
208964.PA0639 208964.PA2268 265
208964.PA0639 208964.PA3802 169
208964.PA0639 208964.PA1596 193
208964.PA0639 208964.PA3327 171
208964.PA0639 208964.PA0766 416
208964.PA0639 208964.PA2444 328
208964.PA0639 208964.PA4761 218
208964.PA0639 208964.PA4807 517
208964.PA0639 208964.PA0307 275
208964.PA0639 208964.PA4329 244
208964.PA0639 208964.PA4257 780
208964.PA0639 208964.PA1487 690
208964.PA0639 208964.PA3617 281
208964.PA0639 208964.PA4249 773
208964.PA0639 208964.PA2851 200
208964.PA0639 208964.PA4248 155
208964.PA0639 208964.PA2739 165
208964.PA0639 208964.PA4686 263
208964.PA0639 208964.PA4741 774
208964.PA0639 208964.PA0428 224
208964.PA0639 208964.PA3810 218
208964.PA0639 208964.PA3950 224
208964.PA0639 208964.PA1498 244
208964.PA0639 208964.PA0657 335
208964.PA0639 208964.PA3060 211
208964.PA0639 208964.PA3637 265
208964.PA0639 208964.PA2424 182
208964.PA0639 208964.PA2816 263
208964.PA0639 208964.PA0795 169
208964.PA0639 208964.PA0804 157
208964.PA0639 208964.PA4760 173
208964.PA0639 208964.PA3582 690
208964.PA0639 208964.PA1903 206
208964.PA0639 208964.PA4361 338
208964.PA0639 208964.PA1580 169
208964.PA0639 208964.PA4840 541
208964.PA0639 208964.PA4268 763
208964.PA0639 208964.PA2477 275
208964.PA0639 208964.PA4254 777
208964.PA0639 208964.PA0380 563
208964.PA0639 208964.PA4446 416
208964.PA0639 208964.PA4239 688
208964.PA0639 208964.PA5454 338
208964.PA0639 208964.PA3554 338
208964.PA0639 208964.PA4167 157
208964.PA0639 208964.PA0391 239
208964.PA0639 208964.PA2498 490
208964.PA0639 208964.PA4673 169
208964.PA0639 208964.PA4240 665
208964.PA0639 208964.PA4068 338
208964.PA0639 208964.PA5415 328
208964.PA0639 208964.PA4267 731
208964.PA0639 208964.PA4282 263
208964.PA0639 208964.PA0546 173
208964.PA0639 208964.PA3337 338
208964.PA0639 208964.PA3861 224
208964.PA0639 208964.PA4385 317
208964.PA0639 208964.PA3579 690
208964.PA0639 208964.PA4612 490
208964.PA0639 208964.PA2122 159
208964.PA0639 208964.PA0953 275
208964.PA0639 208964.PA1481 275
208964.PA0639 208964.PA5556 299
208964.PA0639 208964.PA2619 663
208964.PA0639 208964.PA0597 239
208964.PA0639 208964.PA0372 155
208964.PA0639 208964.PA5343 338
208964.PA0639 208964.PA3146 338
208964.PA0639 208964.PA4259 796
208964.PA0639 208964.PA4246 771
208964.PA0639 208964.PA3770 187
208964.PA0639 208964.PA4264 777
208964.PA0639 208964.PA2778 211
208964.PA0639 208964.PA3482 161
208964.PA0639 208964.PA1234 275
208964.PA0639 208964.PA0432 179
208964.PA0639 208964.PA4437 211
208964.PA0639 208964.PA2612 163
208964.PA0639 208964.PA0455 224
208964.PA0639 208964.PA1191 173
208964.PA0639 208964.PA2694 275
208964.PA0639 208964.PA3074 211
208964.PA0639 208964.PA3656 692
208964.PA0639 208964.PA4250 703
208964.PA0639 208964.PA4214 206
208964.PA0639 208964.PA1068 193
208964.PA0639 208964.PA4602 328
208964.PA0639 208964.PA4031 167
208964.PA0639 208964.PA3287 490
208964.PA0639 208964.PA3466 224
208964.PA0639 208964.PA1171 239
208964.PA0639 208964.PA4631 338
208964.PA0639 208964.PA4873 218
208964.PA0643 208964.PA1249 256
208964.PA0643 208964.PA3547 256
208964.PA0643 208964.PA1784 256
208964.PA0643 208964.PA2191 256
208964.PA0643 208964.PA3407 256
208964.PA0643 208964.PA1167 256
208964.PA0643 208964.PA1914 256
208964.PA0646 208964.PA1167 256
208964.PA0646 208964.PA3407 256
208964.PA0646 208964.PA1914 256
208964.PA0646 208964.PA1249 256
208964.PA0646 208964.PA2191 256
208964.PA0646 208964.PA3547 256
208964.PA0646 208964.PA1784 256
208964.PA0649 208964.PA4214 449
208964.PA0649 208964.PA1758 579
208964.PA0649 208964.PA0036 223
208964.PA0649 208964.PA1002 900
208964.PA0649 208964.PA3113 169
208964.PA0649 208964.PA1001 956
208964.PA0649 208964.PA0035 224
208964.PA0649 208964.PA1903 449
208964.PA0649 208964.PA0609 956
208964.PA0649 208964.PA0651 171
208964.PA0650 208964.PA1001 519
208964.PA0650 208964.PA3113 357
208964.PA0650 208964.PA4214 633
208964.PA0650 208964.PA0609 519
208964.PA0650 208964.PA1758 519
208964.PA0650 208964.PA1903 633
208964.PA0650 208964.PA0651 529
208964.PA0650 208964.PA0036 534
208964.PA0651 208964.PA4214 543
208964.PA0651 208964.PA0650 529
208964.PA0651 208964.PA2609 187
208964.PA0651 208964.PA1758 369
208964.PA0651 208964.PA0036 531
208964.PA0651 208964.PA4385 171
208964.PA0651 208964.PA1903 543
208964.PA0651 208964.PA3792 225
208964.PA0651 208964.PA0025 181
208964.PA0651 208964.PA0244 181
208964.PA0651 208964.PA1002 171
208964.PA0651 208964.PA1217 165
208964.PA0651 208964.PA1001 369
208964.PA0651 208964.PA0649 171
208964.PA0651 208964.PA2011 163
208964.PA0651 208964.PA0035 357
208964.PA0651 208964.PA0609 369
208964.PA0652 208964.PA3420 161
208964.PA0652 208964.PA3581 173
208964.PA0652 208964.PA4034 173
208964.PA0652 208964.PA4238 806
208964.PA0652 208964.PA1596 200
208964.PA0652 208964.PA2778 416
208964.PA0652 208964.PA4269 748
208964.PA0652 208964.PA3060 415
208964.PA0652 208964.PA1949 195
208964.PA0652 208964.PA4151 203
208964.PA0652 208964.PA2137 167
208964.PA0652 208964.PA3921 161
208964.PA0652 208964.PA0533 183
208964.PA0652 208964.PA2248 203
208964.PA0652 208964.PA4270 806
208964.PA0652 208964.PA0576 822
208964.PA0652 208964.PA1759 161
208964.PA0652 208964.PA5337 719
208964.PA0652 208964.PA4275 175
208964.PA0652 208964.PA3416 203
208964.PA0652 208964.PA3563 234
208964.PA0652 208964.PA1760 161
208964.PA0652 208964.PA0590 151
208964.PA0652 208964.PA3074 416
208964.PA0652 208964.PA5195 195
208964.PA0652 208964.PA0376 339
208964.PA0652 208964.PA1992 181
208964.PA0652 208964.PA3217 275
208964.PA0652 208964.PA5065 196
208964.PA0652 208964.PA3622 444
208964.PA0652 208964.PA1068 200
208964.PA0652 208964.PA2259 195
208964.PA0652 208964.PA4437 415
208964.PA0652 208964.PA2320 195
208964.PA0652 208964.PA0275 900
208964.PA0654 208964.PA4773 900
208964.PA0655 208964.PA4017 169
208964.PA0655 208964.PA5221 154
208964.PA0655 208964.PA4803 206
208964.PA0655 208964.PA4190 154
208964.PA0655 208964.PA3515 206
208964.PA0655 208964.PA0247 150
208964.PA0655 208964.PA5457 244
208964.PA0655 208964.PA0333 169
