timestamp, index, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2025/11/26 02:36:59.539, 0, 22237 MiB, 24576 MiB, 93 %
2025/11/26 02:37:59.541, 0, 22237 MiB, 24576 MiB, 75 %
2025/11/26 02:38:59.543, 0, 22237 MiB, 24576 MiB, 100 %
2025/11/26 02:39:59.546, 0, 22237 MiB, 24576 MiB, 98 %
2025/11/26 02:40:59.549, 0, 22237 MiB, 24576 MiB, 100 %
2025/11/26 02:41:59.551, 0, 22237 MiB, 24576 MiB, 99 %
2025/11/26 02:42:59.553, 0, 22237 MiB, 24576 MiB, 75 %
2025/11/26 02:43:59.556, 0, 22237 MiB, 24576 MiB, 100 %
2025/11/26 02:44:59.558, 0, 22237 MiB, 24576 MiB, 81 %
2025/11/26 02:45:59.560, 0, 22237 MiB, 24576 MiB, 99 %
2025/11/26 02:46:59.562, 0, 22237 MiB, 24576 MiB, 100 %
2025/11/26 02:47:59.565, 0, 22237 MiB, 24576 MiB, 86 %
2025/11/26 02:48:59.568, 0, 22237 MiB, 24576 MiB, 98 %
2025/11/26 02:49:59.572, 0, 22237 MiB, 24576 MiB, 100 %
2025/11/26 02:50:59.574, 0, 22237 MiB, 24576 MiB, 100 %
2025/11/26 02:51:59.576, 0, 22237 MiB, 24576 MiB, 99 %
2025/11/26 02:52:59.579, 0, 22237 MiB, 24576 MiB, 99 %
2025/11/26 02:53:59.581, 0, 22237 MiB, 24576 MiB, 87 %
2025/11/26 02:54:59.583, 0, 22237 MiB, 24576 MiB, 99 %
2025/11/26 02:55:59.586, 0, 22237 MiB, 24576 MiB, 100 %
2025/11/26 02:56:59.588, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 02:57:59.590, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 02:58:59.593, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 02:59:59.596, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:00:59.598, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:01:59.600, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:02:59.603, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:03:59.605, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:04:59.608, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:05:59.610, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:06:59.612, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:07:59.615, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:08:59.617, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:09:59.620, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:10:59.622, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:11:59.625, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:12:59.627, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:13:59.630, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:14:59.632, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:15:59.635, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:16:59.637, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:17:59.640, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:18:59.642, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:19:59.645, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:20:59.647, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:21:59.650, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:22:59.652, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:23:59.655, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:24:59.657, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:25:59.659, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:26:59.662, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:27:59.664, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:28:59.666, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:29:59.669, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:30:59.671, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:31:59.674, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:32:59.676, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:33:59.679, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:34:59.681, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:35:59.684, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:36:59.686, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:37:59.689, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:38:59.691, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:39:59.694, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:40:59.696, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:41:59.699, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:42:59.701, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:43:59.704, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:44:59.706, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:45:59.709, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:46:59.711, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:47:59.713, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:48:59.715, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:49:59.718, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:50:59.720, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:51:59.723, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:52:59.725, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:53:59.728, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:54:59.731, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:55:59.732, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:56:59.735, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:57:59.737, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:58:59.740, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 03:59:59.742, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 04:00:59.745, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 04:01:59.747, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 04:02:59.749, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 04:03:59.752, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 04:04:59.754, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 04:05:59.757, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 04:06:59.759, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 04:07:59.762, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 04:08:59.764, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 04:09:59.766, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 04:10:59.769, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 04:11:59.771, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 04:12:59.774, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 04:13:59.777, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 04:14:59.779, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 04:15:59.782, 0, 26 MiB, 24576 MiB, 0 %
